   59 pins in data base file.
puck,pin,mode,raster_v,raster_h,raster_hgrids,raster_vgrids,raster_vbeam,raster_hbeam,att_rater,exp_raster,mount_time,center_time,raster_time,nds,meas_time,log_comment
   CPS1273,01,multi,844-1-245 1.00000,597.1, 401.2,    39,    40,  15.0,  10.0, 15.69,0.010, 0.37,  0.37,  2.33,     1,  4.37,  Normal termination,
   CPS1273,02,multi,844-1-245 1.00000,573.5, 401.2,    38,    40,  15.0,  10.0, 15.69,0.010, 0.68,  0.38,  2.30,     1,  4.58,  Normal termination,
   CPS1273,03,multi,844-1-245549.9, 401.2,    36,    40,  15.0,  10.0, 15.69,0.010, 0.72,  0.37,  2.18,     0,  4.05,No crystals found in a raster scan.,
   CPS1273,04,multi,844-1-245460.2, 401.2,    30,    40,  15.0,  10.0, 15.69,0.010, 0.87,  0.38,  1.92,     0,  4.00,No crystals found in a raster scan.,
   CPS1273,05,multi,844-1-245535.7, 401.2,    35,    40,  15.0,  10.0, 15.69,0.010, 0.87,  0.38,  2.13,     0,  4.12,No crystals found in a raster scan.,
   CPS1273,06,multi,844-1-245512.1, 401.2,    34,    40,  15.0,  10.0, 15.69,0.010, 4.93,  0.57,  2.05,     0,  8.32,No crystals found in a raster scan.,
   CPS1273,07,multi,844-1-245 1.00000,519.2, 401.2,    34,    40,  15.0,  10.0, 15.69,0.010, 0.90,  0.78,  2.10,     5,  5.22,  Normal termination,
   CPS1273,08,multi,844-1-245 1.00000,604.2, 401.2,    40,    40,  15.0,  10.0, 15.69,0.010, 0.73,  0.45,  2.33,     2,  4.92,  Normal termination,
   CPS1273,09,multi,844-1-245559.3, 401.2,    37,    40,  15.0,  10.0, 15.69,0.010, 0.72,  0.37,  2.27,     0,  4.08,No crystals found in a raster scan.,
   CPS1273,10,multi,844-1-245 1.00000,512.1, 401.2,    34,    40,  15.0,  10.0, 15.69,0.010, 0.85,  0.38,  2.07,     3,  4.70,  Normal termination,
   CPS1273,11,multi,844-1-245 1.00000,512.1, 401.2,    34,    40,  15.0,  10.0, 15.69,0.010, 0.77,  0.37,  2.08,     1,  4.45,  Normal termination,
